         953660 function calls (838464 primitive calls) in 9.611 seconds

   Ordered by: cumulative time
   List reduced from 1606 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      132    0.121    0.001    0.121    0.001 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
       30    0.001    0.000    0.118    0.004 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:3121(batch_encode_plus)
     1530    0.103    0.000    0.103    0.000 {method 'add_' of 'torch._C.TensorBase' objects}
      594    0.030    0.000    0.095    0.000 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/nn/functional.py:5456(normalize)
     3564    0.001    0.000    0.087    0.000 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/transformers/activations.py:77(forward)
     3564    0.086    0.000    0.086    0.000 {built-in method torch._C._nn.gelu}
     3564    0.002    0.000    0.085    0.000 /Users/mfine/.local/share/uv/python/cpython-3.12.8-macos-aarch64-none/lib/python3.12/inspect.py:3343(signature)
     1188    0.001    0.000    0.085    0.000 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/nn/modules/sparse.py:189(forward)
     3564    0.002    0.000    0.083    0.000 /Users/mfine/.local/share/uv/python/cpython-3.12.8-macos-aarch64-none/lib/python3.12/inspect.py:3081(from_callable)
     1188    0.001    0.000    0.083    0.000 /Users/mfine/Exa/rank-test/.venv/lib/python3.12/site-packages/torch/nn/functional.py:2437(embedding)


